date_of_sale,address,county,price,vat_exclusive,property_description,property_size,accuracy,formatted_address,eircode,place_id,latitude,longitude,geocoding_url,region,electoral_district_id,electoral_district,bus_distance,train_distance
05/01/2010,"11 Castle Court, Birr",Offaly,110132.15,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"11 Castle Ct, Townparks, Birr, Co. Offaly, R42 PF30, Ireland",R42 PF30,ChIJs93Im4v3XEgRQp_2-N2M38c,53.1028017,-7.916052799999999,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.5566015696696666,33.05163439205612
05/01/2010,"12 Castle Court, Birr",Offaly,110132.15,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"12 Castle Ct, Townparks, Birr, Co. Offaly, R42 PH66, Ireland",R42 PH66,ChIJH2oEm4v3XEgRINYXhfzB8hk,53.1027833,-7.9162182,"https://maps.googleapis.com/maps/api/geocode/json?address=12+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.5671636827622261,33.05991737328117
05/01/2010,"14 Castle Court, Birr",Offaly,110132.15,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"14 Castle Ct, Townparks, Birr, Co. Offaly, R42 TR63, Ireland",R42 TR63,ChIJjyfkhIv3XEgRag9t5N5--44,53.10276429999999,-7.916540599999998,"https://maps.googleapis.com/maps/api/geocode/json?address=14+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.588103208333566,33.07457025526409
05/01/2010,"3 Castle Court, Birr",Offaly,154185.02,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"3 Castle Ct, Townparks, Birr, Co. Offaly, R42 AV90, Ireland",R42 AV90,ChIJKzMdCov3XEgRMmwvjm7FNjs,53.10337209999999,-7.915240099999999,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.5186480261706216,32.968303052118586
05/01/2010,"4 Castle Court, Birr",Offaly,154185.02,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"4 Castle Ct, Townparks, Birr, Co. Offaly, R42 P788, Ireland",R42 P788,ChIJ3-eBoIv3XEgR2GxY8xo3Y7k,53.1033154,-7.9154168999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.5280910166108137,32.98044509226325
05/01/2010,"5 Castle Court, Birr",Offaly,154185.02,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,"5 Castle Ct, Townparks, Birr, Co. Offaly, R42 YY77, Ireland",R42 YY77,ChIJT_YWoIv3XEgR91Z07X1_edk,53.1032346,-7.9155646,"https://maps.googleapis.com/maps/api/geocode/json?address=5+Castle+Court,+Birr,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12001,Birr Urban,0.5351163053356309,32.99355887131527
08/01/2010,"4 Chancery Park, Cloncollig, Tullamore",Offaly,155000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,"4 Chancery Park Dr, Cloncollog, Tullamore, Co. Offaly, R35 V2N6, Ireland",R35 V2N6,ChIJxxGERZWlXUgRi7Ma9Ny8nkc,53.2655889,-7.469661699999999,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Chancery+Park,+Cloncollig,+Tullamore,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12087,Tullamore Rural,0.3249570550302405,2.052670346711213
15/01/2010,"Moylena, Tullamore",Offaly,200000.0,No,Second-Hand Dwelling house /Apartment,,GEOMETRIC_CENTER,"Moylena, Tullamore, Co. Offaly, Ireland",,ChIJU0GjQn6vXUgRwpNLZ4IN86k,53.28030450000001,-7.5041674,"https://maps.googleapis.com/maps/api/geocode/json?address=Moylena,+Tullamore,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12002,Tullamore Urban,0.10908824517443493,1.0896098135133376
18/01/2010,"3 Oakfield, Clonminch, Tullamore",Offaly,192500.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,"3 Oakfield, Tullamore, Co. Offaly, R35 AV80, Ireland",R35 AV80,ChIJybPLkpGlXUgRc_-zILs3QLc,53.27028499999999,-7.4823099000000015,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Oakfield,+Clonminch,+Tullamore,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12002,Tullamore Urban,0.3768029462312096,1.1383672734438457
22/01/2010,"4  Grand Canal Court, Tullamore",Offaly,220000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,"4 Grand Canal Ct, Tullamore, Co. Offaly, R35 F4W9, Ireland",R35 F4W9,ChIJ0QB1B5ulXUgR7Fk3Zb3XCnQ,53.278111,-7.4827809000000025,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Grand+Canal+Court,+Tullamore,+Offaly,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",Midland,12002,Tullamore Urban,0.12265807456169105,1.3956245774724445
