date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
04/01/2010,"15A Moore Bay, Kilkee",Clare,126500.0,No,Second-Hand Dwelling house /Apartment,,ChIJAeGRND7oWkgRndqyDhiG5h4,"https://maps.googleapis.com/maps/api/geocode/json?address=15A+Moore+Bay,+Kilkee,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.6712676,-9.6543382,"15A Moore Bay Holiday Homes, Kilkee Lower, Kilkee, Co. Clare, V15 NT29, Ireland",V15 NT29,ROOFTOP,Mid-West,16087,Kilfearagh,0.7641562534461591,49.36881371446946
05/01/2010,"24 Garran Na Coille, Claureen",Clare,390000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJ02AyKMcSW0gR5ZmzF1ScGFk,"https://maps.googleapis.com/maps/api/geocode/json?address=24+Garran+Na+Coille,+Claureen,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8521784,-9.008153300000002,"24 Garrán Na Coille, Shanaway Rd, Claureen, Ennis, Co. Clare, V95 A02A, Ireland",V95 A02A,ROOFTOP,Mid-West,16032,Ennis Rural,0.08478813885924241,2.6246936229601383
07/01/2010,"16 Abeyvill, Clare Road, Ennis",Clare,245000.0,No,Second-Hand Dwelling house /Apartment,,ChIJtdowL9RsW0gR9EyYAYxW2qA,"https://maps.googleapis.com/maps/api/geocode/json?address=16+Abeyvill,+Clare+Road,+Ennis,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8326061,-8.974203999999997,"16 Limerick Rd, Abbey Ville, Clonroad More, Ennis, Co. Clare, V95 N4F5, Ireland",V95 N4F5,ROOFTOP,Mid-West,16032,Ennis Rural,0.4243327342037888,0.7190658844470049
07/01/2010,"5 Shallee Drive, Cloughleigh, Ennis",Clare,105000.0,No,Second-Hand Dwelling house /Apartment,,ChIJtW9wX84SW0gRDscyzssU5Bc,"https://maps.googleapis.com/maps/api/geocode/json?address=5+Shallee+Drive,+Cloughleigh,+Ennis,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8476903,-8.994950300000003,"5 Shallee Dr, Cloughleigh, Ennis, Co. Clare, V95 P2WX, Ireland",V95 P2WX,ROOFTOP,Mid-West,16001,Ennis No. 1 Urban,0.631294397350192,1.6108840128042663
08/01/2010,"The Cottage, Shantraud, Killaloe",Clare,222400.0,No,Second-Hand Dwelling house /Apartment,,ChIJIaQkYvKeXEgR0LgtlaZ1M2M,"https://maps.googleapis.com/maps/api/geocode/json?address=The+Cottage,+Shantraud,+Killaloe,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.84882529999999,-8.475155099999998,"AnnaCarriga Holiday Resort, Ballyheefy, Killaloe, Co. Clare, Ireland",,GEOMETRIC_CENTER,Mid-West,16125,Carrowbaun,0.2396599488792609,24.13453449909721
11/01/2010,"26 Lissaniska, Lahinch Road, Ennis",Clare,150000.0,No,Second-Hand Dwelling house /Apartment,,ChIJpZYuCckSW0gRnmj5zxCuf3I,"https://maps.googleapis.com/maps/api/geocode/json?address=26+Lissaniska,+Lahinch+Road,+Ennis,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8526724,-8.9969584,"26 Lahinch Rd, Lissaniska, Claureen, Ennis, Co. Clare, V95 P8C3, Ireland",V95 P8C3,ROOFTOP,Mid-West,16032,Ennis Rural,0.6726832338446719,2.077744065041274
11/01/2010,"3 Castlefields, Kilkee",Clare,400000.0,No,Second-Hand Dwelling house /Apartment,,ChIJlzAejWvoWkgR0J0xl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Castlefields,+Kilkee,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.6828228,-9.6444116,"Dough, Kilkee, Co. Clare, Ireland",,APPROXIMATE,Mid-West,16088,Kilkee,0.15304398701233032,48.267450269440495
12/01/2010,"Raenagisheach, Kilmaley",Clare,22500.0,No,Second-Hand Dwelling house /Apartment,,ChIJ-c3fZHYRW0gR8O0xl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Raenagisheach,+Kilmaley,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.81883149999999,-9.1088004,"Kilmaley, Co. Clare, Ireland",,APPROXIMATE,Mid-West,16035,Killanniv,0.04749783590153713,9.24063351039757
13/01/2010,"L226 Bru Na Sionna, Shannon",Clare,99391.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJH45SXNNBW0gRDQsvdKT9nqA,"https://maps.googleapis.com/maps/api/geocode/json?address=L226+Bru+Na+Sionna,+Shannon,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.707533700000006,-8.8804669,"Brú Na Sionna, Shannon Town Centre, Tullyvarraga, Shannon, Co. Clare, Ireland",,ROOFTOP,Mid-West,16027,Clenagh,0.08121737189479368,7.333028841946138
15/01/2010,"1 Stone Court, Ennis Rd, Newmarket On Fergus",Clare,166000.0,No,Second-Hand Dwelling house /Apartment,,ChIJWRJgUNESW0gRlBpzoC_aOVQ,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Stone+Court,+Ennis+Rd,+Newmarket+On+Fergus,+Clare,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8405127,-8.99119,"1 Stone Ct, Drumbiggil, Ennis, Co. Clare, V95 HD5E, Ireland",V95 HD5E,ROOFTOP,Mid-West,16002,Ennis No. 2 Urban,0.3878361876428424,1.0636916019748854
