Stop number,Name without locality,Locality,Locality number,Code,Name,NaPTAN stop class,NaPTANId,Easting,Northing
696,Cruagh Road Tibradden,South Dublin,E0823032,2,Cruagh Road,BCT,825000241,713624,722759
697,Cruagh Wood,South Dublin,E0823032,1,Cruagh Road,BCT,825000242,712628,722634
697,Cruagh Wood,South Dublin,E0823032,2,Cruagh Road,BCT,825000243,712626,722641
698,Crumlin Road,Crumlin,E0822009,1,Crumlin Road,BCT,825000244,712756,732201
698,Crumlin Road,Crumlin,E0822009,2,Crumlin Road,BCT,825000245,712787,732207
699,Cullmore,County Galway,E0847132,1,R328,BCT,847000173,560137,751626
699,Cullmore,County Galway,E0847132,2,R328,BCT,847000174,560046,751704
699,Cullmore,County Galway,E0847132,3,R328,BCT,847000175,560137,751626
699,Cullmore,County Galway,E0847132,4,R328,BCT,847000176,560046,751704
700,Cullohill,Cullahill,E0828001,1,R639,BCT,828000043,635375,674291
700,Cullohill,Cullahill,E0828001,2,R639,BCT,828000044,635367,674287
